id,alpha3,numeric,currency_sign,name_de,name_en
88,MNT,496,₮,Mongolischer Tögrög,Mongolian Tugrik
89,MOP,446,P,Macau-Pataca,Macanese Pataca
90,MRU,929,UM,Mauretanischer Ouguiya,Mauritanian Ouguiya
91,MUR,480,₨,Mauritius-Rupie,Mauritian Rupee
92,MVR,462,.ރ,Malediven-Rufiyaa,Maldivian Rufiyaa
93,MWK,454,MK,Malawi-Kwacha,Malawian Kwacha
94,MXN,484,$,Mexikanischer Peso,Mexican Peso
95,MYR,458,RM,Malaysischer Ringgit,Malaysian Ringgit
96,MZN,943,MT,Moçambique-Metical,Mozambican Metical
97,NAD,516,$,Namibia-Dollar,Namibian Dollar
98,NGN,566,₦,Nigerianischer Naira,Nigerian Naira
99,NIO,132,C$,Nicaragua-Córdoba,Nicaraguan Córdoba
100,NOK,578,kr,Norwegische Krone,Norwegian Krone
101,NPR,524,₨,Nepalesische Rupie,Nepalese Rupee
102,NZD,554,$,Neuseeland-Dollar,New Zealand Dollar
103,OMR,512,ر.ع.,Omanischer Rial,Omani Rial
104,PAB,590,B/.,Panamaischer Balboa,Panamanian Balboa
105,PEN,604,S/.,Peruanischer Sol,Peruvian Sol
106,PGK,598,K,Papua-Neuguinea-Kina,Papua New Guinean Kina
107,PHP,608,₱,Philippinischer Peso,Philippine Peso
108,PKR,586,₨,Pakistanische Rupie,Pakistani Rupee
109,PLN,985,zł,Polnischer Złoty,Polish Zloty
110,PYG,600,₲,Paraguayischer Guaraní,Paraguayan Guarani
111,QAR,634,ر.ق,Katar-Riyal,Qatari Rial
112,RON,946,lei,Rumänischer Leu,Romanian Leu
113,RSD,941,дин.,Serbischer Dinar,Serbian Dinar
114,RUB,643,₽,Russischer Rubel,Russian Ruble
115,RWF,646,FR,Ruanda-Franc,Rwandan Franc
116,SAR,682,ر.س,Saudi-Riyal,Saudi Riyal
117,SBD,90,$,Salomonen-Dollar,Solomon Islands Dollar
118,SCR,690,₨,Seychellen-Rupie,Seychellois Rupee
119,SDG,938,£,Sudanesisches Pfund,Sudanese Pound
120,SEK,752,kr,Schwedische Krone,Swedish Krona
121,SGD,702,$,Singapur-Dollar,Singapore Dollar
122,SHP,654,£,St.-Helena-Pfund,Saint Helena Pound
123,SLL,694,Le,Sierra-leonischer Leone,Sierra Leonean Leone
124,SOS,706,Sh,Somalia-Schilling,Somali Shilling
125,SRD,740,$,Suriname-Dollar,Surinamese Dollar
126,SSP,728,£,Südsudanesisches Pfund,South Sudanese Pound
127,STN,930,Db,São-toméischer Dobra,Sao Tome and Principe Dobra
128,SYP,760,£,Syrisches Pfund,Syrian Pound
129,SZL,748,L,Eswatini-Lilangeni,Swazi Lilangeni
130,THB,764,฿,Thailändischer Baht,Thai Baht
131,TJS,934,ЅМ,Tadschikischer Somoni,Tajikistani Somoni
132,TMT,934,m,Turkmenistan-Manat,Turkmenistani Manat
133,TND,788,د.ت,Tunesischer Dinar,Tunisian Dinar
134,TOP,776,T$,Tongaischer Paʻanga,Tongan Paʻanga
135,TRY,949,₺,Türkische Lira,Turkish Lira
136,TTD,780,TT$,Trinidad-und-Tobago-Dollar,Trinidad and Tobago Dollar
137,TWD,901,NT$,Neuer Taiwan-Dollar,New Taiwan Dollar
138,TZS,834,T/,Tansania-Schilling,Tanzanian Shilling
139,UAH,980,₴,Ukrainische Hrywnja,Ukrainian Hryvnia
140,UGX,800,USh,Uganda-Schilling,Ugandan Shilling
141,USD,840,$,US-Dollar,US Dollar
142,UYU,858,$,Uruguayischer Peso,Uruguayan Peso
143,UZS,860,UZS,Usbekischer Soʻm,Uzbekistani Som
144,VES,928,Bs.,Venezolanischer Bolívar,Venezuelan Bolívar
145,VND,704,₫,Vietnamesischer Đồng,Vietnamese Dong
146,VUV,548,Vt,Vanuatu-Vatu,Vanuatu Vatu
147,WST,876,T,Samoa-Tala,Samoan Tala
148,XAF,950,Fr,Zentralafrikanischer CFA-Franc,CFA Franc BEAC
149,XCD,951,$,Ostkaribischer Dollar,East Caribbean Dollar
150,XOF,952,Fr,Westafrikanischer CFA-Franc,CFA Franc BCEAO
